gender,parental level of education,math score,reading score,writing score,final score
female,some high school,60,70,70,66.66666666666667
male,master's degree,80,80,72,77.33333333333333
male,high school,54,52,52,52.666666666666664
female,some college,62,73,70,68.33333333333333
female,associate's degree,64,73,68,68.33333333333333
male,associate's degree,78,77,77,77.33333333333333
female,some college,70,75,78,74.33333333333333
female,master's degree,65,81,81,75.66666666666667
female,some high school,64,79,77,73.33333333333333
male,some college,79,79,78,78.66666666666667
female,some high school,44,50,51,48.333333333333336
female,high school,99,93,90,94.0
male,high school,76,73,68,72.33333333333333
male,some high school,59,42,41,47.333333333333336
female,bachelor's degree,63,75,81,73.0
female,high school,69,72,77,72.66666666666667
female,associate's degree,88,92,95,91.66666666666667
female,some college,71,76,70,72.33333333333333
male,bachelor's degree,69,63,61,64.33333333333333
male,some college,58,49,42,49.666666666666664
female,associate's degree,47,53,58,52.666666666666664
female,some college,65,70,71,68.66666666666667
male,some college,88,85,76,83.0
male,bachelor's degree,83,78,73,78.0
female,some high school,85,92,93,90.0
female,high school,59,63,75,65.66666666666667
female,some high school,65,86,80,77.0
male,bachelor's degree,73,56,57,62.0
male,high school,53,52,42,49.0
male,high school,45,48,46,46.333333333333336
female,bachelor's degree,73,79,84,78.66666666666667
female,some college,70,78,78,75.33333333333333
female,some high school,37,46,46,43.0
male,associate's degree,81,82,82,81.66666666666667
male,associate's degree,97,82,88,89.0
female,some high school,67,89,82,79.33333333333333
male,bachelor's degree,88,75,76,79.66666666666667
male,some high school,77,76,77,76.66666666666667
male,associate's degree,76,70,68,71.33333333333333
male,some high school,86,73,70,76.33333333333333
male,some high school,63,60,57,60.0
female,bachelor's degree,65,73,75,71.0
male,high school,78,77,80,78.33333333333333
male,associate's degree,67,62,60,63.0
male,some high school,46,41,43,43.333333333333336
male,associate's degree,71,74,68,71.0
male,high school,40,46,50,45.333333333333336
male,associate's degree,90,87,75,84.0
male,some college,81,78,81,80.0
male,some high school,56,54,52,54.0
female,associate's degree,67,84,81,77.33333333333333
male,associate's degree,80,76,64,73.33333333333333
female,associate's degree,74,75,83,77.33333333333333
male,some college,69,67,69,68.33333333333333
male,some college,99,87,81,89.0
male,some high school,51,52,44,49.0
female,associate's degree,53,71,67,63.666666666666664
female,high school,49,57,52,52.666666666666664
female,associate's degree,73,76,80,76.33333333333333
male,bachelor's degree,66,60,57,61.0
male,bachelor's degree,67,61,68,65.33333333333333
female,associate's degree,68,67,69,68.0
female,bachelor's degree,59,64,75,66.0
male,high school,71,66,65,67.33333333333333
female,master's degree,77,82,91,83.33333333333333
male,associate's degree,83,72,78,77.66666666666667
male,bachelor's degree,63,71,69,67.66666666666667
female,associate's degree,56,65,63,61.333333333333336
female,high school,67,79,84,76.66666666666667
female,high school,75,86,79,80.0
female,some college,71,81,80,77.33333333333333
female,some high school,43,53,53,49.666666666666664
female,high school,41,46,43,43.333333333333336
female,some college,82,90,94,88.66666666666667
male,some college,61,61,62,61.333333333333336
male,associate's degree,82,75,77,78.0
female,some high school,41,55,51,49.0
male,high school,71,60,61,64.0
male,associate's degree,47,37,35,39.666666666666664
male,associate's degree,62,56,53,57.0
male,associate's degree,90,78,81,83.0
female,bachelor's degree,83,93,95,90.33333333333333
female,some college,61,68,66,65.0
male,some high school,76,70,69,71.66666666666667
male,associate's degree,49,51,43,47.666666666666664
female,some high school,35,55,60,50.0
male,high school,58,61,52,57.0
female,high school,61,73,63,65.66666666666667
female,high school,69,76,74,73.0
male,associate's degree,67,72,67,68.66666666666667
male,some college,79,73,67,73.0
female,high school,72,80,75,75.66666666666667
male,some college,62,61,57,60.0
female,bachelor's degree,77,94,95,88.66666666666667
male,high school,75,74,66,71.66666666666667
male,associate's degree,87,74,76,79.0
female,bachelor's degree,52,65,69,62.0
male,some college,66,57,52,58.333333333333336
female,some college,63,78,80,73.66666666666667
female,associate's degree,46,58,57,53.666666666666664
female,some college,59,71,70,66.66666666666667
female,bachelor's degree,61,72,70,67.66666666666667
male,associate's degree,63,61,61,61.666666666666664
female,some college,42,66,69,59.0
male,some college,59,62,61,60.666666666666664
female,some college,80,90,89,86.33333333333333
female,high school,58,62,59,59.666666666666664
male,some high school,85,84,78,82.33333333333333
female,some college,52,58,58,56.0
female,some high school,27,34,32,31.0
male,some college,59,60,58,59.0
male,bachelor's degree,49,58,60,55.666666666666664
male,high school,69,58,53,60.0
male,bachelor's degree,61,66,61,62.666666666666664
female,some high school,44,64,58,55.333333333333336
female,some high school,73,84,85,80.66666666666667
male,some college,84,77,71,77.33333333333333
female,some college,45,73,70,62.666666666666664
male,some high school,74,74,72,73.33333333333333
female,some college,82,97,96,91.66666666666667
female,bachelor's degree,59,70,73,67.33333333333333
male,associate's degree,46,43,41,43.333333333333336
female,some high school,80,90,82,84.0
female,master's degree,85,95,100,93.33333333333333
female,some high school,71,83,77,77.0
male,bachelor's degree,66,64,62,64.0
female,associate's degree,80,86,83,83.0
male,associate's degree,87,100,95,94.0
male,master's degree,79,81,71,77.0
female,some high school,38,49,45,44.0
female,some high school,38,43,43,41.333333333333336
female,some college,67,76,75,72.66666666666667
female,bachelor's degree,64,73,70,69.0
female,associate's degree,57,78,67,67.33333333333333
female,high school,62,64,64,63.333333333333336
male,master's degree,73,70,75,72.66666666666667
male,some high school,73,67,59,66.33333333333333
female,some college,77,68,77,74.0
male,some college,76,67,67,70.0
male,associate's degree,57,54,56,55.666666666666664
female,some high school,65,74,77,72.0
male,high school,48,45,41,44.666666666666664
female,high school,50,67,63,60.0
female,associate's degree,85,89,95,89.66666666666667
male,some high school,74,63,57,64.66666666666667
male,some high school,60,59,54,57.666666666666664
female,some high school,59,54,67,60.0
male,some college,53,43,43,46.333333333333336
female,some college,49,65,55,56.333333333333336
female,high school,88,99,100,95.66666666666667
female,high school,54,59,62,58.333333333333336
female,some high school,63,73,68,68.0
male,associate's degree,65,65,63,64.33333333333333
female,associate's degree,82,80,77,79.66666666666667
female,high school,52,57,56,55.0
male,associate's degree,87,84,85,85.33333333333333
female,master's degree,70,71,74,71.66666666666667
male,some college,84,83,78,81.66666666666667
male,associate's degree,71,66,60,65.66666666666667
male,some high school,63,67,67,65.66666666666667
female,bachelor's degree,51,72,79,67.33333333333333
male,high school,84,73,69,75.33333333333333
male,bachelor's degree,71,74,68,71.0
male,associate's degree,74,73,67,71.33333333333333
male,some college,68,59,62,63.0
male,high school,57,56,54,55.666666666666664
female,associate's degree,82,93,93,89.33333333333333
female,high school,57,58,64,59.666666666666664
female,master's degree,47,58,67,57.333333333333336
female,some high school,59,85,80,74.66666666666667
male,some college,41,39,34,38.0
female,some college,62,67,62,63.666666666666664
male,bachelor's degree,86,83,86,85.0
male,some high school,69,71,65,68.33333333333333
male,some high school,65,59,53,59.0
male,some high school,68,63,54,61.666666666666664
male,associate's degree,64,66,59,63.0
female,high school,61,72,70,67.66666666666667
male,high school,61,56,55,57.333333333333336
female,some high school,47,59,50,52.0
male,some high school,73,66,66,68.33333333333333
male,some college,50,48,53,50.333333333333336
male,associate's degree,75,68,64,69.0
male,associate's degree,75,66,73,71.33333333333333
male,high school,70,56,51,59.0
male,some high school,89,88,82,86.33333333333333
female,some college,67,81,79,75.66666666666667
female,high school,78,81,80,79.66666666666667
female,some high school,59,73,69,67.0
female,associate's degree,73,83,76,77.33333333333333
male,some high school,79,82,73,78.0
female,some high school,67,74,77,72.66666666666667
male,some college,69,66,60,65.0
male,high school,86,81,80,82.33333333333333
male,high school,47,46,42,45.0
male,associate's degree,81,73,72,75.33333333333333
female,some college,64,85,85,78.0
female,some college,100,92,97,96.33333333333333
female,associate's degree,65,77,74,72.0
male,some college,65,58,49,57.333333333333336
female,associate's degree,53,61,62,58.666666666666664
male,bachelor's degree,37,56,47,46.666666666666664
female,bachelor's degree,79,89,89,85.66666666666667
male,associate's degree,53,54,48,51.666666666666664
female,bachelor's degree,100,100,100,100.0
male,high school,72,65,68,68.33333333333333
male,bachelor's degree,53,58,55,55.333333333333336
male,some college,54,54,45,51.0
female,some college,71,70,76,72.33333333333333
female,some college,77,90,91,86.0
male,bachelor's degree,75,58,62,65.0
female,some college,84,87,91,87.33333333333333
male,high school,72,67,65,68.0
female,high school,77,88,85,83.33333333333333
male,some college,91,74,76,80.33333333333333
female,associate's degree,83,85,90,86.0
female,high school,63,69,74,68.66666666666667
female,associate's degree,68,86,84,79.33333333333333
female,some high school,59,67,61,62.333333333333336
female,associate's degree,90,90,91,90.33333333333333
female,bachelor's degree,71,76,83,76.66666666666667
male,bachelor's degree,76,62,66,68.0
male,associate's degree,80,68,72,73.33333333333333
female,master's degree,55,64,70,63.0
male,associate's degree,76,71,67,71.33333333333333
male,high school,73,71,68,70.66666666666667
female,associate's degree,52,59,56,55.666666666666664
male,some college,68,68,61,65.66666666666667
male,high school,59,52,46,52.333333333333336
female,associate's degree,49,52,54,51.666666666666664
male,high school,70,74,71,71.66666666666667
male,some college,61,47,56,54.666666666666664
female,associate's degree,60,75,74,69.66666666666667
male,some high school,64,53,57,58.0
male,associate's degree,79,82,82,81.0
female,associate's degree,65,85,76,75.33333333333333
female,associate's degree,64,64,70,66.0
female,some college,83,83,90,85.33333333333333
female,bachelor's degree,81,88,90,86.33333333333333
female,high school,54,64,68,62.0
male,high school,68,64,66,66.0
female,some college,54,48,52,51.333333333333336
female,some college,59,78,76,71.0
female,some high school,66,69,68,67.66666666666667
male,some college,76,71,72,73.0
female,master's degree,74,79,82,78.33333333333333
female,associate's degree,94,87,92,91.0
male,some college,63,61,54,59.333333333333336
female,associate's degree,95,89,92,92.0
female,master's degree,40,59,54,51.0
female,some high school,82,82,80,81.33333333333333
male,high school,68,70,66,68.0
male,bachelor's degree,55,59,54,56.0
male,master's degree,79,78,77,78.0
female,bachelor's degree,86,92,87,88.33333333333333
male,some college,76,71,73,73.33333333333333
male,some high school,64,50,43,52.333333333333336
male,some high school,62,49,52,54.333333333333336
female,some high school,54,61,62,59.0
female,master's degree,77,97,94,89.33333333333333
female,some high school,76,87,85,82.66666666666667
female,some college,74,89,84,82.33333333333333
female,some college,66,74,73,71.0
female,some high school,66,78,78,74.0
female,high school,67,78,79,74.66666666666667
male,some college,71,49,52,57.333333333333336
female,associate's degree,91,86,84,87.0
male,bachelor's degree,69,58,57,61.333333333333336
male,master's degree,54,59,50,54.333333333333336
male,high school,53,52,49,51.333333333333336
male,some college,68,60,59,62.333333333333336
male,some high school,56,61,60,59.0
female,high school,36,53,43,44.0
female,bachelor's degree,29,41,47,39.0
female,associate's degree,62,74,70,68.66666666666667
female,associate's degree,68,67,73,69.33333333333333
female,some high school,47,54,53,51.333333333333336
male,associate's degree,62,61,58,60.333333333333336
female,associate's degree,79,88,94,87.0
male,high school,73,69,68,70.0
female,bachelor's degree,66,83,83,77.33333333333333
male,associate's degree,51,60,58,56.333333333333336
female,high school,51,66,62,59.666666666666664
male,bachelor's degree,85,66,71,74.0
male,associate's degree,97,92,86,91.66666666666667
male,high school,75,69,68,70.66666666666667
male,associate's degree,79,82,80,80.33333333333333
female,associate's degree,81,77,79,79.0
female,associate's degree,82,95,89,88.66666666666667
female,master's degree,64,63,66,64.33333333333333
male,some high school,78,83,80,80.33333333333333
female,some high school,92,100,97,96.33333333333333
male,high school,72,67,64,67.66666666666667
female,high school,62,67,64,64.33333333333333
male,master's degree,79,72,69,73.33333333333333
male,some high school,79,76,65,73.33333333333333
male,bachelor's degree,87,90,88,88.33333333333333
female,associate's degree,40,48,50,46.0
male,some college,77,62,64,67.66666666666667
male,associate's degree,53,45,40,46.0
female,some college,32,39,33,34.666666666666664
female,associate's degree,55,72,79,68.66666666666667
male,master's degree,61,67,66,64.66666666666667
female,associate's degree,53,70,70,64.33333333333333
male,some high school,73,66,62,67.0
female,some college,74,75,79,76.0
female,some college,63,74,74,70.33333333333333
male,bachelor's degree,96,90,92,92.66666666666667
female,some college,63,80,80,74.33333333333333
male,bachelor's degree,48,51,46,48.333333333333336
male,associate's degree,48,43,45,45.333333333333336
female,bachelor's degree,92,100,100,97.33333333333333
female,master's degree,61,71,78,70.0
male,high school,63,48,47,52.666666666666664
male,bachelor's degree,68,68,67,67.66666666666667
male,some college,71,75,70,72.0
male,bachelor's degree,91,96,92,93.0
female,some college,53,62,56,57.0
female,high school,50,66,64,60.0
female,high school,74,81,71,75.33333333333333
male,associate's degree,40,55,53,49.333333333333336
male,some college,61,51,52,54.666666666666664
female,high school,81,91,89,87.0
female,some college,48,56,58,54.0
female,master's degree,53,61,68,60.666666666666664
female,some high school,81,97,96,91.33333333333333
female,some high school,77,79,80,78.66666666666667
female,bachelor's degree,63,73,78,71.33333333333333
female,associate's degree,73,75,80,76.0
female,some college,69,77,77,74.33333333333333
female,associate's degree,65,76,76,72.33333333333333
female,high school,55,73,73,67.0
female,bachelor's degree,44,63,62,56.333333333333336
female,some college,54,64,65,61.0
female,some high school,48,66,65,59.666666666666664
male,some college,58,57,54,56.333333333333336
male,some high school,71,62,50,61.0
male,bachelor's degree,68,68,64,66.66666666666667
female,high school,74,76,73,74.33333333333333
female,bachelor's degree,92,100,99,97.0
female,bachelor's degree,56,79,72,69.0
male,some high school,53,54,48,51.666666666666664
female,high school,69,77,73,73.0
female,some high school,65,82,81,76.0
female,master's degree,54,60,63,59.0
female,high school,29,29,30,29.333333333333332
female,some college,76,78,80,78.0
male,high school,60,57,51,56.0
male,master's degree,84,89,90,87.66666666666667
male,some high school,75,72,62,69.66666666666667
female,associate's degree,85,84,82,83.66666666666667
female,master's degree,40,58,54,50.666666666666664
female,some college,61,64,62,62.333333333333336
female,associate's degree,58,63,65,62.0
male,some college,69,60,63,64.0
female,some college,58,59,66,61.0
male,bachelor's degree,94,90,91,91.66666666666667
female,associate's degree,65,77,74,72.0
female,associate's degree,82,93,93,89.33333333333333
female,high school,60,68,72,66.66666666666667
female,bachelor's degree,37,45,38,40.0
male,bachelor's degree,88,78,83,83.0
male,master's degree,95,81,84,86.66666666666667
male,associate's degree,65,73,68,68.66666666666667
female,high school,35,61,54,50.0
male,bachelor's degree,62,63,56,60.333333333333336
male,high school,58,51,52,53.666666666666664
male,some college,100,96,86,94.0
female,bachelor's degree,61,58,62,60.333333333333336
male,some college,100,97,99,98.66666666666667
male,associate's degree,69,70,63,67.33333333333333
male,associate's degree,61,48,46,51.666666666666664
male,some college,49,57,46,50.666666666666664
female,some high school,44,51,55,50.0
male,some college,67,64,70,67.0
male,high school,79,60,65,68.0
female,bachelor's degree,66,74,81,73.66666666666667
female,high school,75,88,85,82.66666666666667
male,some high school,84,84,80,82.66666666666667
male,high school,71,74,64,69.66666666666667
female,high school,67,80,81,76.0
female,some high school,80,92,88,86.66666666666667
male,some college,86,76,74,78.66666666666667
female,associate's degree,76,74,73,74.33333333333333
male,high school,41,52,51,48.0
female,associate's degree,74,88,90,84.0
female,some high school,72,81,79,77.33333333333333
female,high school,74,79,80,77.66666666666667
male,high school,70,65,60,65.0
female,bachelor's degree,65,81,81,75.66666666666667
female,associate's degree,59,70,65,64.66666666666667
female,high school,64,62,68,64.66666666666667
female,high school,50,53,55,52.666666666666664
female,some college,69,79,81,76.33333333333333
male,some high school,51,56,53,53.333333333333336
female,high school,68,80,76,74.66666666666667
female,some college,85,86,98,89.66666666666667
female,associate's degree,65,70,74,69.66666666666667
female,some high school,73,79,79,77.0
female,some college,62,67,67,65.33333333333333
male,associate's degree,77,67,64,69.33333333333333
male,some high school,69,66,61,65.33333333333333
female,associate's degree,43,60,58,53.666666666666664
male,associate's degree,90,87,85,87.33333333333333
male,some college,74,77,73,74.66666666666667
male,some high school,73,66,63,67.33333333333333
female,some college,55,71,69,65.0
female,high school,65,69,67,67.0
male,associate's degree,80,63,63,68.66666666666667
female,some high school,50,60,60,56.666666666666664
female,some college,63,73,71,69.0
female,bachelor's degree,77,85,87,83.0
male,some college,73,74,61,69.33333333333333
male,associate's degree,81,72,77,76.66666666666667
female,high school,66,76,68,70.0
male,associate's degree,52,57,50,53.0
female,some college,69,78,76,74.33333333333333
female,associate's degree,65,84,84,77.66666666666667
female,high school,69,77,78,74.66666666666667
female,some college,50,64,66,60.0
female,some college,73,78,76,75.66666666666667
female,some high school,70,82,76,76.0
male,associate's degree,81,75,78,78.0
male,some college,63,61,60,61.333333333333336
female,high school,67,72,74,71.0
male,high school,60,68,60,62.666666666666664
male,high school,62,55,54,57.0
female,some high school,29,40,44,37.666666666666664
male,some college,62,66,68,65.33333333333333
female,master's degree,94,99,100,97.66666666666667
male,some college,85,75,68,76.0
male,associate's degree,77,78,73,76.0
male,high school,53,58,44,51.666666666666664
male,some college,93,90,83,88.66666666666667
female,associate's degree,49,53,53,51.666666666666664
female,associate's degree,73,76,78,75.66666666666667
female,bachelor's degree,66,74,81,73.66666666666667
female,associate's degree,77,77,73,75.66666666666667
female,some high school,49,63,56,56.0
female,some college,79,89,86,84.66666666666667
female,associate's degree,75,82,90,82.33333333333333
female,bachelor's degree,59,72,70,67.0
female,associate's degree,57,78,79,71.33333333333333
male,high school,66,66,59,63.666666666666664
female,bachelor's degree,79,81,82,80.66666666666667
female,some high school,57,67,72,65.33333333333333
male,bachelor's degree,87,84,87,86.0
female,some college,63,64,67,64.66666666666667
female,some high school,59,63,64,62.0
male,bachelor's degree,62,72,65,66.33333333333333
male,high school,46,34,36,38.666666666666664
male,some college,66,59,52,59.0
male,high school,89,87,79,85.0
female,associate's degree,42,61,58,53.666666666666664
male,some college,93,84,90,89.0
female,some high school,80,85,85,83.33333333333333
female,some college,98,100,99,99.0
male,master's degree,81,81,84,82.0
female,some high school,60,70,74,68.0
female,associate's degree,76,94,87,85.66666666666667
male,associate's degree,73,78,72,74.33333333333333
female,associate's degree,96,96,99,97.0
female,high school,76,76,74,75.33333333333333
male,associate's degree,91,73,80,81.33333333333333
female,some college,62,72,70,68.0
male,some high school,55,59,59,57.666666666666664
female,some high school,74,90,88,84.0
male,high school,50,48,42,46.666666666666664
male,some college,47,43,41,43.666666666666664
male,some college,81,74,71,75.33333333333333
female,associate's degree,65,75,77,72.33333333333333
male,some high school,68,51,57,58.666666666666664
female,high school,73,92,84,83.0
male,some college,53,39,37,43.0
female,associate's degree,68,77,80,75.0
male,some high school,55,46,43,48.0
female,some college,87,89,94,90.0
